mmsi,port,port_utilization,congestion_index,recent_avg_delay,arrival_day,vessel_age,berth_delay_hours
538004587,Gangavaram,74.45523846316551,0.9176243262576915,13.907459650287672,28,7.044743888610881,35.673309150170006
419000456,Kolkata,96.0050332260802,0.970746753722523,10.67423079491468,2,8.655165558267306,39.0395417068632
352122000,Krishnapatnam,64.33990243635455,0.7114709115459246,17.590220303461358,6,19.485662824991035,36.52654079571276
374787000,Haldia,51.88230198434577,0.6792255731411526,9.799410693841685,10,15.645716014916582,25.442338394086086
419000456,Haldia,89.69026537586225,0.6463558138767064,14.957130530808675,3,4.6703711482873285,33.94802641247444
538004587,Gangavaram,90.10229796989333,0.545934559683916,14.787835472997482,17,17.833253705108262,40.91892105735432
419000456,Kolkata,57.51942598707217,0.5730277108788928,8.689027740752811,27,9.493810353998299,23.48649281793989
352122000,Gangavaram,94.43143742794766,0.6956769962370246,10.449822067573745,22,7.6461039238430075,34.921652261137524
352122000,Gangavaram,59.739215121272125,0.6612575116681442,13.1891945334783,19,13.733847170383438,31.77993907866116
419001951,Kolkata,92.98554161375067,0.9034497083680946,7.8431256033073335,4,15.995777694949755,33.2257927127734
374787000,Haldia,68.54914414630375,0.8777861460711712,18.34995650656891,9,8.795469754873462,34.03707425442795
352122000,Krishnapatnam,65.20259907239881,0.6670105688139707,19.57312353038761,20,19.680134532211248,35.255421641033166
538004209,Visakhapatnam,69.22903447624601,0.9655590086769437,15.565965562269822,6,21.553606594559856,37.122475042627
538004587,Gangavaram,64.26083787533761,0.5969101653966474,16.222725082576723,4,15.750902412135792,29.99907547161903
352122000,Gangavaram,60.942982554862326,0.6997132912208264,11.29375756080321,4,21.651933296738306,32.85571791948847
419000183,Visakhapatnam,95.51394376019414,0.6865514227932745,12.24776784004068,2,18.92928564690824,42.16429886089813
374787000,Kolkata,94.38837290415573,0.6483382022029756,10.39506663621144,1,15.954209731098217,38.63206910355346
352978124,Paradip,53.382411622983554,0.7311429251972789,11.819191406404748,8,21.2370602338123,27.29670320261957
352122000,Gangavaram,79.59847579767285,0.8264810757970698,12.3676761238901,20,21.45912767512055,40.339085889967144
419001155,Paradip,52.04922420122312,0.9220746778596489,10.169308505203745,17,3.2012397270063992,29.04095594521243
352122000,Krishnapatnam,67.10129821999347,0.6956212460507163,6.197548507263767,11,20.499459606768674,30.87198313175863
419001951,Kolkata,97.40698339002564,0.5255184301683469,13.957239219493584,7,11.64389222898534,43.88475103698122
419000456,Kolkata,67.30108561474879,0.974503555196727,14.476855896897572,24,9.142854883482084,32.8749644334575
352122000,Krishnapatnam,64.88135632269385,0.8794395508142586,13.371220541603444,5,2.7538635643939466,32.368431395996225
374787000,Haldia,85.11713314249056,0.7316245609598274,18.043546379484752,28,13.125155335034858,42.27856001676488
374787000,Kolkata,84.04901720890992,0.5597924720252365,9.827378627476968,27,18.374796428888008,41.36681435895774
419001951,Kolkata,75.29566417429109,0.645965744965471,9.051521667238912,19,15.702145857360088,33.75334732989805
